ACCOUNT_ID,OPP_ID,ORDER_DATE,PRODUCT,QUANTITY,START,END
account59,opp59,4/20/20,cd5ba48bb6ce3541492df6f2282ca555a65397c168dc599c5280217261540cd8,1,4/21/20,4/20/21
account60,opp60,4/12/20,7de4db6c2dc91b0dc0135ea84e98f2735435d13e2aeeff07f8aec65d6e9a34c9,1,4/13/20,4/12/21
account60,opp60,4/12/20,1a5a6aac31b1d9e08401bd147df106c600254b2df05a3fa83949a016556be016,4,4/13/20,4/12/21
account60,opp60,4/12/20,d4414675f5ff265a2ab7734bf3ff8e62e4fd621ea38028b2a335d947397dfba4,1,4/13/20,4/12/21
account61,opp61,4/15/20,1a5a6aac31b1d9e08401bd147df106c600254b2df05a3fa83949a016556be016,1,4/16/20,4/15/21
account62,opp62,4/7/20,1a5a6aac31b1d9e08401bd147df106c600254b2df05a3fa83949a016556be016,1,4/8/20,4/7/21
account63,opp63,4/16/20,cd5ba48bb6ce3541492df6f2282ca555a65397c168dc599c5280217261540cd8,9,4/17/20,4/16/21
account63,opp63,4/16/20,d4414675f5ff265a2ab7734bf3ff8e62e4fd621ea38028b2a335d947397dfba4,1,4/17/20,4/16/21
account63,opp63,4/16/20,1a5a6aac31b1d9e08401bd147df106c600254b2df05a3fa83949a016556be016,4,4/17/20,4/16/21
account63,opp63,4/16/20,10347b6bfa203126ec438cd4c7ff6d70fbd6cf484916613e72c37a5dac557088,1,4/17/20,4/16/21
account63,opp63,4/16/20,ba74659186951610f566f036ac5184c7cae5ec7e602106491a99122a69b44b70,1,4/17/20,4/16/21
account64,opp64,4/18/20,cd5ba48bb6ce3541492df6f2282ca555a65397c168dc599c5280217261540cd8,1,4/19/20,4/18/21
account65,opp65,4/1/20,1a5a6aac31b1d9e08401bd147df106c600254b2df05a3fa83949a016556be016,3,4/2/20,4/1/21
account65,opp65,4/1/20,7de4db6c2dc91b0dc0135ea84e98f2735435d13e2aeeff07f8aec65d6e9a34c9,1,4/2/20,4/1/21
account66,opp66,4/15/20,7de4db6c2dc91b0dc0135ea84e98f2735435d13e2aeeff07f8aec65d6e9a34c9,1,4/16/20,4/15/21
account66,opp66,4/15/20,cd5ba48bb6ce3541492df6f2282ca555a65397c168dc599c5280217261540cd8,7,4/16/20,4/15/21
account66,opp66,4/15/20,1a5a6aac31b1d9e08401bd147df106c600254b2df05a3fa83949a016556be016,1,4/16/20,4/15/21
account67,opp67,4/16/20,cd5ba48bb6ce3541492df6f2282ca555a65397c168dc599c5280217261540cd8,1,4/17/20,4/16/21
account67,opp67,4/16/20,1a5a6aac31b1d9e08401bd147df106c600254b2df05a3fa83949a016556be016,8,4/17/20,4/16/21
account67,opp67,4/16/20,7de4db6c2dc91b0dc0135ea84e98f2735435d13e2aeeff07f8aec65d6e9a34c9,1,4/17/20,4/16/21
